xBJ9lgOEkro,47365,257,10,0,0
XBJSfGM5dGY,113772,311,9,44,0
XBPrLU4Zspo,11733,37,1,6,0
XbuSTq9TZSI,1485,4,1,0,0
xby81m1GtH8,4994293,9007,1205,601,0
x_BYzj4jQEM,15920,54,1,7,0
XBz2wuGU9Cs,9339,24,4,8,0
XBz6d2VPgZw,244053,438,12,81,0
xc2Ctw8pGrc,675418,2376,180,471,0
Xc2OmGesDgo,11275,85,2,5,0
XC3h9PPpQtI,676,1,2,0,0
XC3yGH4nETQ,434544,908,124,100,0
_-xCcoG6Wlc,1106446,6359,277,1578,0
XcDzb6AeAI0,156021,730,27,79,0
XcFFaRpPdzs,47707,53,6,3,0
xcfYbwSXFVw,2754,6,0,0,0
xcgOzHorYag,5347,29,2,16,0
xchco5BLMQU,3408,17,4,7,0
XCHKYNFH9Lk,280336,1435,41,138,0
xCI_stZgRHc,415083,1427,53,197,0
xCKGA9yDNgQ,21440,77,0,27,0
xCLCNJpKLx8,553758,4365,82,179,0
XClRjF_xBj8,35641,33,9,16,0
XcMH5ntEWGQ,55094,152,7,9,0
XcNYS8j9Qkg,57690,94,2,15,0
xCQ3ZdnptUM,219999,974,20,132,0
-xCS0zZPAoA,54751,120,5,19,0
xcSwBHs1uD4,1486839,6011,216,737,0
xCWkAXGz8W8,663176,3016,130,763,0
xcYzjbIVlX8,437,3,0,0,0
xd1f5GeUWpg,26372,66,0,10,0
xD1OPkq6-Vg,356,0,0,1,0
xd7SESj-nfA,37234,104,3,39,0
xD9G6rUq_5I,1309377,6177,798,417,0
xDC6IlQdTLs,75176,214,16,20,0
xdgjUPMiiEc,49627,128,6,21,0
XDI3snWDWuo,26734,121,1,25,0
xdnibOE5L40,410057,2096,154,356,0
XDnXI6KXoeg,11144825,20213,4920,608,0
xdQyp5ewyew,8063,44,0,8,0
XdtbL0dP0X0,367537,2991,153,340,0
xDvdVxr48UU,16757,77,2,7,0
xEAsC8A1Ins,1794519,5120,256,162,0
XEBr-jUNgS0,37229,148,5,3,0
XECoJa7AU-c,71662,131,8,25,0
XEF8mU3Vanc,161064,770,45,95,0
XeGQr6g1i9I,8702,37,1,1,0
xehwopjgKGU,37282,77,1,14,0
xEIhAu0v-kU,70182,219,3,41,0
XELVUtQR080,7934,14,0,2,0
XemAlj9_qKE,140224,700,15,52,0
xEnYDuZSSy4,1564,10,1,2,0
XeO3jMZphhs,283838,1272,28,103,0
xEOHMxA4C-E,11328,27,5,2,0
xEqdoVnIFug,473629,1382,66,95,0
XEQJU3VPjHU,18904,39,4,0,0
xerkgvDm4Ig,375,2,0,2,0
XEsZK8pvveU,91914,309,6,127,0
xEtptEM2_mg,27950,134,3,8,0
XeU6SJorcvw,903829,3196,108,766,0
xEvb7B4O698,2912124,8177,382,1103,0
XF0e2BjTDh8,211159,480,26,119,0
XF33SnFIDAQ,837249,928,274,18,0
xf3htc2iZ9Y,18956,42,0,6,0
XF-736UPy0k,2738,15,0,2,0
XF7QaSY-8lY,14954,79,0,6,0
XFdEntyO6TY,831017,2176,181,270,0
xfeLsPRl3so,394103,1631,130,251,0
xfIJV6C9-fM,45332,39,2,3,0
XFK5SV1-Pzg,2061259,4789,300,214,0
XfKq2_EzkE4,195,1,1,0,0
x-FLqiu9nTs,98507,213,14,13,0
XFmCXGXAZ5A,21649,44,2,0,0
xfnmRVym22U,664645,1095,129,40,0
xfoGEGTl-sg,37828,61,3,3,0
XFoGxUA8btQ,76089,46,16,4,0
XFOoJ3gwplQ,262958,494,16,97,0
XFoP9Dy1jNc,111422,395,16,11,0
XFosHLSA03w,7324,24,0,5,0
XFTJJtOtFtI,260455,763,50,70,0
xfwm9CY5dao,178937,214,23,157,0
xFwOlEzzeFg,6423334,35531,747,4221,0
